gene	common
SL0253	yafD
SL0168	yacC
SL4155	
SL3991	
SL4275	sugE
SL1153	mfd
SL2217	sspH2
SL1290	ydiO
SL2441	
SL0079	fixX
SL0276	sciO
SL0332	stbD
SL0523	ylbE
SL0607	citG
SL0645	ybeU
SL0702	
SL0960	
SL0980	
SL0988	
SL1023	yccX
SL1079	csgD
SL1393	ydgT
SL1717	hyaD
SL1796	
SL2474	shdA
SL2548	
SL2692	
SL3008	stdA
SL3604	lpfC
SL4002	
SL4135	
SL4153	
SL4517	creD
SL3012	
SL0689	ybfA
SL1837	yecD
SL1724	treA
SL2600	
SL4022	ydeW
SL0570	ybdJ
SL0333	stbC
SL1456	yneG
STnc3510	
SL3484	
SL4139	
SL1823	msbB
SL2318	yfcG
SL3990	
SL1595	
SL0548	gtrBa
SL2982	nudH
SL1421	
SL2122	yegW
SL0161	yacL
SL2363	pgtE
STnc3180	
SL3967	yihS
SL1975	
SL0180	yadE
SL1317	ttrA
SL3378	
SL3277	ispB
SL0770	bioA
SL4187	yjbR
SL2992	lysR
SL1416	ynfM
SL0363	prpB
SL0961	
SL1870	tyrP
SL3435	argDb
SL0091	ksgA
SL0595	dsbG
SL1715	
SL4479	bglJ
SL1953	
SL2584	
SL4283	yjeO
SL3751	
SL0531	
SL2760	iroD
SL3946	yihG
SL1488	
SL0795	ybiH
SL2612	yfiF
STnc2010	
SL0330	
SL0427	thiJ
SL1243	
SL3517	ggt
SL1367	gloA
SL1060	ycdC
SL2388	yfeH
STnc1180	
SL0259	dnaQ
SL1739	ycgN
SL3344	mreD
SL2146	pbpG
SL3671	yibP
SL0544	
SL4363	iolG2
SL3153	mdaB
SL2366	pgtC
SL3760	
SL2233	yojI
SL3194	ygjP
SL0296	safB
SL0328	
SL1087	mdoG
SL0551	ykgD
SL3197	ygjT
STnc1500	
STnc3150	
SL2158	yohJ
SL3062	speA
SL0513	
SL1452	sotB
SL3028	
SL0461	ylaB
SL2535	
SL1165	
SL1505	smvA
SL3165	assT
SL4431	
SL0083	
SL0561	
SL2742	
SL4111	zraP
SL1084	
SL2087	wcaF
SL3002	yohM
SL4136	
STnc1740	
SL0496	ybbM
SL1293	aroE
SL2782	ygaP
STnc440	
SL2243	
SL0533	ybcI
SL4311	yjfN
SL2746	
SL1730	alr-a
SL1622	sapA
SL0546	
STnc1150	
SL1590	ogt
RseX	
SL1333	sscA
SL1258	yniB
SL0194	fhuD
SL0638	
SL2656	recN
SL0965	gtgA
SL1212	
SL0149	
SL0460	ybaZ
SL0205	yadR
SL2036	yeeA
SL1610	ycjI
SL1005	ymbA
SL0863	artJ
SL3635	
SL1539	tehA
SL4265	yjeH
SL1145	thiK
SL2261	yfaX
STnc3990	
DsrA	
SL1618	pspC
SL4286	yjeQ
SL4513	rob
STnc890	
SL4000	
SL3370	yrdD
SL1792	
SL2596	
SL2593	
MicC	
SL4149	
SL0494	ybbK
SL2583	
SL0540	fimH
SL1864	araH
SL1632	yciW
SL0783	ybhL
SL0847	ybjM
SL2322	hisQ
SL4460	
SL4450	
SL2504	nifU
SL0927	ycbC
SL4374	
SL1516	
SL1237	xthA
SL2150	yohG
SL1489	
SL2384	xapB
SL2884	
SL0690	phrB
SL2110	
SL2327	
SL4133	
STnc3620	
SL1371	ydhF
SL0160	
SL1253	katE
SL4523A	
SL3100	
SL1098	bssS
SL0734	pnuC
SL4282	yjeM
SL0008	mog
SL0428	apbA
SL1729	cvrA
SL1530A	
SL0009	yaaH
SL0292	
SL1256	ydjM
SL1453	yneJ
SL2025	pduN
SL2889	
SL3057	
SL3304	yhcG
SL4095	
SL4150	
SL0010	htgA
SL2741	
SL3161	ygiB
SL0089	apaH
SL3523	ugpB
SL2496	
SL4211	acs
SL0209	dgt
SL0618	ccrB
SL2885	
SL3877	rfe
SL2142	yehY
SL0440	bolA
STnc1590	
SL4012	sbp
SL1722	
SL0875	hcr
SL1644A	ymiA
SL3814	yidY
SL4121	
SL1150	ycfQ
SL4192	ssb
SL1078	csgE
SL2718	
SL4004	sodA
SL0893	aat
SL2262	
SL2643	gpD
SL1482	
SL1487	
SL3815	yidZ
SL1282	ydiA
SL1653	trpH
SL1506	
SL1446	ydeE
SL3976	
SL2543	rnc
SL3799	
SL1050	yccD
SL1602	
SL1574	ydbL
SL0699	
SL0011	yaaI
SL3092	
STnc3050	
SL1532	sifB
SL0338	
SL3587	yhjS
SL3250	
SL0979	
SL1038	hpaB
SL0423	phnS
SL1917	yedI
SL0200	stfF
SL0408	yajI
STnc1090	
SL1018	
SL2033	pduW
SL0907	pflA
SL4489	osmY
SL3953	glnL
STnc1540	
SL1581	nifJ
STnc480	
SL4315	yjfR
SL2081	cpsG
SL3636	yiaM
SL1718	hyaE
SL0043	
SL0346	
SL3359	yhdJ
SL3703	
SL2712	
SL0305	fadE
SL0738	
SL1224	yeaD
SL0454	mdlA
SL3649	yibF
SL3425	yheR
SL0854	potF
SL2362	yfdC
SL0911	focA
SL3978	
SL4047	
SL3724	fidL
SL1445	ydeI
SL2505	iscS
SL0193	fhuC
SL0578	fepC
SL1102	grxB
SL0958	
SL0679	seqA
SL1020	yccW
SL3634	yiaL
SL0242	cutF
SL2582	
SL3723	misL
SL0157	yacH
SL0283	sciV
STnc1550	
SL3816	yieE
SL0324	leuC2
SL1555	ydcI
SL1639	pyrF
SL0700	
SL0708	
SL3437	fic
SL0142	pilC
SL1080	csgB
SL0075	caiT
SL2728	
SL0786	
SL1451	marC
SL1057	yccJ
SL0171	hpt
SL2321	hisM
SL2933	mazG
SL1329	ssaD
SL3192	fadH
SL2641	
SL1058	wrbA
SL2778	ygaE
SL3177	cca
SL2878	invF
SL3109	uxuA
SL0855	potG
SL4131	
RygD	
SL1219	yeaH
STnc290	
SL4096	sseK1
SL4246	
SL0319	
SL0065	dapB
SL0984	
SL3830	
SL3998	rhaR
SL3326	ttdB
SL3362	envR
SL2574	
SL1052	scsA
SL1422	
SL3510	yhhW
SL2125	
SL0532	
SL0963	
SL0421	phnU
SL2075	galF
SL1025	yccA
SL0639	
SL1732	ycgB
SL1396	ydgA
SL3456	comD
SL0517	ybbY
SL4212	
SL2507	
SL3440	yhfC
SL1090	msyB
SL0705	
SL2299	lrhA
SL3198	ygjU
SL4416	yjgB
SL4300	nsrR
SL2088	wcaE
SL1608	
SL1049	
SL2103	
SL3889	yifK
SL0735	ybgR
SL0709	
SL3958	
SL0265	sciF
SL3741	nepI
SL1772	
SL3144	
SL2100	yegE
SL1586	dbpA
SL0703	
SL3478	yhgI
SL0452	
STnc3700	
SL1549	aac
SL2626	
SL0511	gip
SL3186	mug
SL1991	erfK
SL1179	envF
SL0252	
STnc500	
SL3514	
SL4496	deoB
SL4303	yjfI
SL2603	rseA
SL1284	ydiD
SL0769	ybhB
STnc3220	
tpke70	
SL4340	ytfL
SL2537	
SL1019	yccV
STnc1920	
SL1527	ydcX
Spf	
SL0458	tesB
SL0369	yaiV
SL3463	yrfG
SL1026	pipA
SL4269	yjeJ
SL1265	
SL0302	pagN
SL3135	metC
SL3096	
SL0565	
SL0198	stfD
IsrA	
SL1678	
SL3363	acrE
SL2680	
SL2691	
SL0060	citD2
SL0294	
SL0861	
SL1628	steC
SL2520	cadB
SL2634	
SL0055	
SL0057	oadG
SL2085	fcl
STnc4200	
SL0451	cof
SL1634	yciR
SL2639	
SL2693	
SL3493	glpD
SL4257	
SL0085	
SL0558	apeE
SL2670	gpE
SL2342	
SL2128	stcB
SL2047	yeeZ
STnc4130	
SL1592	ydaA
SL3575	yhjG
SL4361	iolC
SL2012	pocR
STnc3730	
SL3337	yhcQ
SL3041	yggE
SL4130	
SL1024	yccK
SL2379	yfeC
SL1731	dadA
SL1813	opdB
SL0067	carA
SL1923	ompS
SL0115	leuO
SL1414	
SL1926	umuD
SL1472	
SL1310	lppB
SL0836	
SL2199	rsuA
SL4203	
SL0802	ybiO
SL4432	
SL4148	
SL3725	marT
SL0257	yafS
SL3729	mgtC
STnc4170	
SL0251	yafC
SL4011	pfkA
SL1148	ndh
STnc3550	
SL4437	uxuR
SL1323	orf319
SL0641	ybeL
SL1566	
SL2761	iroE
RyjB	
SL3372	dprA
SL2360	fadL
SL1565	
SL0662	asnB
SL4337	cysQ
SL3567	
SL0082	
SL1357	norM
SL2447	
SL1359	cfa
SL2078	wcaK
SL1925	umuC
SL1577	ldhA
SL0989	
SL2437	tktB
SL1101	yceB
SL3957	
SL2346	
SL2619	
SL4259	yjdC
STnc1880	
SL4357	iolG1
SL2779	ygaU
SL0364	prpC
SL3616	
SL0422	phnT
SL0326	
SL1644	acnA
SL3059	
SL2280	elaB
SL3591	yhjV
SL4404	yjgN
SL0026	bcfF
SL4176	yjbJ
SL4527	lasT
SL3666	gpsA
SL1064	phoH
STnc710	
SL0058	
SL4273	ecnB
SL0213	
SL1006	rmf
SL2402	yfeL
SL2967	ygdL
SL0905	ycaD
SL1523	ydcY
SL0771	bioB
SL1564	
SL0654	gltI
STnc3130	
SL0327	
SL0024	bcfD
SL1785	
STnc3200	
SL0873	ltaA
SL3063	yqgB
SL0788	ybhO
SL2253	glpA
SL2095	wza
SL0773	bioC
SL1222	
SL3986	fdhD
SL4386	treR
SL2117	yegS
SL2480	yfgJ
SL1296	ydiM
SL4078	trmA
SL2436	tal
SL0753	galE
SL0102	araA
STnc3640	
RygC	
SL3082	yggN
SL0585	entB
SL3919	metE
STnc3430	
SL0845	
SL1814	yebE
SL0033	
SL2317	yfcF
SL3094	
SL1279	
SL0039	
SL1286	ydiS
SL3116	
SL3897	
SL0300	sinR
SL2477	ratA
GlmY	
SL3091	
SL4322	yjfY
SL1068	
SL1331	sseA
SL3977	
SL2935	
SL1591	fnr
SL2706	cIIc
SL2716	
STnc2170	
SL0295	safA
SL0563	manY
SL2356	sixA
SL1458	
SL1809	yobA
SL3377	mscL
SL3483	
SL2604	rpoE
SL3097	
SL3790	torR
STnc1650	
SL4171	ubiA
SL1254	cedA
SL0299	ybeJ
SL0297	safC
SL1385	nth
SL2940	
SL3216	tdcB
SL1845	
SL4339	ytfK
SL0019	
SL2385	flhAb
SL3234	gatD
SL3080	yggM
SL3895	
SL1842	cutC
SL1369	ydhM
SL0286A	
SL3633	yiaK
SL1621	pspF
SL4276	blc
SL0889	
SL4144	
SL2694	
SL4180	pspG
SL0691	ybgH
STnc1560	
SL2608	yfiE
SL0541	fimF
SL2377	nupC
SL1550	
SL3735	
SL3169	yqiC
STnc1690	
SL0868	ybjP
SL1879	sdiA
SL2519	cadC
SL2755	fljA
SL0098	polB
SL1892	amyA
SL0643	ybeR
STnc1060	
SL2630	yfiN
SL0876	hcp
SL0908	
SL1415	asr
SL0289	sciY
SL3979	
SL0092	pdxAa
SL4312	yjfO
SL0542	fimZ
SL1337	sscB
STnc3400	
SL1231	ydjA
SL0359	foxA
SL0817	ybiU
SL4393	
SL2143	yehZ
SL3093	
SL0835	
SL3646	
SL4351	iolT1
SL1459	
SL4141	gtrAb
SL2443	narQ
SL0309	dbh
IsrC	
SL4446	yjiJ
SL1989	
STnc3720	
SL1316	orf48
SL2092	wcaA
SL0704	
SL1803	
SL4001	
SL2677	gpI
STnc3020	
SL4188	
SL2094	wzb
SL2127	stcC
SL4063	pflD
SL2613	trxC
SL0073	caiB
SL3046	epd
SL1528	ydcW
SL0814	
SL3601	lpfE
SL3793	dgoT
SL3380	yhdN
SL0660	ubiF
SroC	
SL2620	clpB
SL1493	osmC
SL1537	
SL2034	pduX
SL1328	ssaC
RydC	
SL3960	
SL1448	marB
SL2473	xseA
SL1793	pagO
SL1990	yeeO
SL4415	idnK
SL2767	nixA
MgrR	
SL3274	yhbE
SL3654	yibL
SL2515	csiE
STnc200	
SL1578	hslJ
SL1604	
SL4124	yjbB
STnc1210	
SL2107	baeS
SL1450	marR
STnc1830	
SL2046	yeeY
SL0482	hemH
SL1780	
SL2785	ygaC
STnc3890	
STnc1470	
SL1491	
SL0036	
STnc3270	
SL1319	ttrB
SL3637	yiaN
SL2963	ygdI
SL1912	dsrB
SL2108	baeR
SL2189	yeiR
SL0808	ompX
SL0188	sfsA
SL2439	ypfG
SL0291	
SL3364	acrF
SL1688	
SL0175	stiH
SL2936	
SL0906	ycaM
SL4225	phnB
SL1375	ydhI
SL3827	
STnc3950	
SL1011	sulA
STnc3290	
SL0377	
SL3139	dkgA
SL1637	osmB
SL1862	otsA
STnc3790	
SL1197	
SL1642	pgpB
SL0785	
SL1776	yebR
SL1372	sodCb
SL3136	yghB
SL4514	creA
SL1407	ydgI
SL0144	pilA
SL0784	ybhM
SL1483	
SL2833	hycA
SL0562	manZ
SL0681	
SL2242	
SL2324	argT
SL2930	ygcF
SL2149	yohF
SL3249	yhbW
SL4055	metF
sRNA1	
SL2820	norV
SL1360	ydhC
SL2138	yehV
SL1613	tyrR
SL2886	pphB
SL4526	yjjY
SL2206	
SL2786	ygaM
SL1561	sseJ
SL2702	
SL1603	
SL3894	cyaA
SL1469	
SL1220	yeaG
SL3472	feoA
SL1866	
SL0962	
SL0286	
